episode,avg_score,avg_max_tile,loss,actor_loss,critic_loss,entropy,elapsed_s
24100,5995.2,412.8,0.09119,0.01436,0.15589,0.11139,5051.8
24150,6600.5,453.1,0.10707,0.0309,0.15556,0.16123,5072.2
24200,6248.1,435.2,0.11598,0.00482,0.22394,0.08195,5089.6
24250,5712.4,406.4,0.09497,0.0032,0.18486,0.06551,5107.3
24300,6292.5,437.1,0.1354,-0.00334,0.27837,0.04412,5127.7
24350,6310.1,439.0,0.2196,-0.01031,0.46085,0.05168,5145.2
24400,5792.2,396.2,0.19136,0.02934,0.3255,0.07297,5163.3
24450,5934.2,410.9,0.08442,-0.00753,0.18504,0.05662,5181.5
24500,6139.5,417.9,0.08878,0.02709,0.12525,0.09406,5200.7
24550,6057.7,403.8,0.78927,-0.00344,1.58555,0.00644,5218.8
24600,5732.3,394.9,0.1393,-0.02184,0.32307,0.03888,5236.0
24650,5996.8,428.8,0.31929,0.01097,0.61786,0.06146,5255.0
24700,5915.3,424.3,0.00692,-0.02299,0.0613,0.07379,5272.1
24750,6068.8,432.0,0.00771,-0.02537,0.06818,0.10035,5292.0
24800,6254.5,441.0,0.02837,0.00985,0.03902,0.09844,5310.0
24850,6507.2,450.6,0.3514,-0.03877,0.78147,0.05672,5331.0
24900,6379.0,437.8,0.00929,-0.05086,0.1219,0.08005,5348.1
24950,6202.8,417.9,0.18358,0.03349,0.30387,0.18414,5368.5
25000,7069.2,497.9,0.23827,0.00485,0.46896,0.10676,5389.6
25050,6698.8,480.6,0.25861,0.00488,0.50843,0.04852,5408.0
25100,5971.8,422.4,0.18645,0.0204,0.33341,0.06495,5425.6
25150,6128.4,430.7,0.07758,0.00514,0.1465,0.08183,5444.8
25200,6135.7,426.2,0.28269,0.03128,0.50489,0.10351,5462.7
25250,6293.0,444.2,0.16888,0.02579,0.28784,0.08249,5482.6
25300,6301.7,453.8,0.24379,0.03443,0.42406,0.26663,5500.5
25350,6192.8,430.1,0.16419,0.04478,0.24298,0.20852,5520.3
25400,6840.0,454.4,0.3707,0.04591,0.65375,0.20792,5541.6
25450,6843.5,465.9,0.20183,-0.09278,0.59284,0.1815,5561.0
25500,6315.9,437.8,0.17661,0.06422,0.22776,0.14947,5579.6
25550,6505.2,448.6,0.10176,0.0572,0.09303,0.19531,5600.0
25600,6447.4,445.1,0.19445,0.02527,0.34152,0.15751,5618.2
25650,6351.2,441.9,0.08955,-0.01396,0.20828,0.0635,5638.0
25700,6327.2,429.4,0.59069,0.03793,1.10743,0.09516,5656.3
25750,5915.8,407.7,0.06207,0.02577,0.07509,0.12404,5674.2
25800,5958.3,421.8,0.22626,-0.04697,0.54865,0.10854,5692.8
25850,6578.4,448.0,0.11279,0.05118,0.12615,0.14632,5713.9
25900,6353.8,434.6,0.12713,0.00027,0.25739,0.18304,5731.1
25950,6402.0,439.7,0.08437,0.06145,0.04865,0.13993,5752.4
26000,7022.1,485.1,0.25429,0.01139,0.49031,0.22578,5772.4
26050,6910.8,474.9,0.18194,0.0825,0.20288,0.20011,5793.0
26100,6531.1,444.2,0.3228,-0.03943,0.72632,0.09419,5811.4
26150,5913.7,408.3,0.23455,0.02059,0.42935,0.07138,5829.0
26200,6349.4,440.3,0.23126,-0.02449,0.51374,0.11257,5849.4
26250,6690.0,470.4,0.39415,-0.03947,0.8683,0.05371,5868.6
26300,6192.6,444.8,0.07248,0.02968,0.08793,0.11622,5886.8
26350,5974.5,423.0,0.18885,0.06731,0.24527,0.10962,5905.0
26400,6000.5,403.8,0.07639,0.0352,0.0847,0.11545,5923.5
26450,5881.8,400.0,0.15763,0.03509,0.2467,0.08091,5941.1
26500,6000.0,417.9,0.06747,0.0283,0.08229,0.19813,5960.2
26550,6422.4,446.1,0.08262,0.04303,0.08143,0.11244,5980.1
26600,6314.0,434.6,0.16625,0.05369,0.22758,0.12321,5998.6
26650,6347.4,427.5,0.64143,-0.03537,1.35543,0.09196,6018.4
26700,6597.4,446.1,0.18031,0.02746,0.30722,0.07633,6038.1
26750,6208.6,430.1,0.12619,0.04285,0.16933,0.13292,6056.0
26800,6025.8,417.3,0.13169,0.04674,0.17202,0.10585,6074.6
26850,5959.7,406.4,0.18332,0.06851,0.23213,0.12477,6092.3
26900,5920.3,409.6,0.11909,0.03205,0.1766,0.125,6110.7
26950,5651.5,403.8,0.1732,-0.03422,0.41738,0.1262,6126.8
27000,4883.3,368.6,0.14895,0.02735,0.2447,0.07504,6141.3
27050,5001.3,378.2,0.12801,0.03377,0.19014,0.0827,6158.1
27100,5252.7,383.4,0.07061,0.02967,0.08312,0.06215,6174.0
27150,4870.2,360.3,0.15198,0.05813,0.18996,0.11351,6188.9
27200,5009.8,376.3,0.09394,0.01838,0.15294,0.09126,6205.4
27250,5221.1,383.4,0.08533,-0.02931,0.23108,0.09001,6221.3
27300,5262.6,380.8,0.16996,0.03806,0.26567,0.09345,6238.1
27350,5559.3,410.2,0.11229,0.02858,0.16849,0.05342,6255.6
27400,5677.4,414.7,0.18504,0.00392,0.36333,0.05423,6273.0
27450,5680.2,398.1,0.46965,-0.07117,1.08275,0.05532,6290.6
27500,5665.9,400.6,0.20679,-0.03644,0.48938,0.14639,6307.8
27550,5730.6,425.6,0.06786,0.00106,0.1346,0.04961,6325.3
27600,5514.1,403.2,0.09449,0.06369,0.06346,0.09335,6341.5
27650,5577.5,408.3,0.20694,-0.03143,0.48,0.16275,6359.2
27700,6165.6,462.1,0.25835,-0.0117,0.54337,0.16324,6377.9
27750,6268.2,448.6,0.18438,-0.08437,0.54121,0.18588,6396.5
27800,6280.6,433.3,0.04844,-0.00623,0.11181,0.12354,6415.6
27850,6393.3,437.8,0.36823,0.01308,0.71166,0.06844,6434.7
27900,6385.5,433.3,0.11889,-0.03723,0.3148,0.12836,6454.2
27950,6243.3,423.7,0.23207,0.01353,0.43844,0.06822,6472.7
28000,6056.1,423.7,0.24672,-0.00652,0.5076,0.05561,6490.9
28050,5702.4,404.5,0.08512,0.01512,0.14069,0.0351,6507.7
28100,5368.0,377.0,0.17405,0.03575,0.27833,0.08586,6524.4
28150,5735.9,401.9,0.13085,0.04225,0.17875,0.07727,6543.1
28200,6017.4,436.5,0.19966,-0.0614,0.52418,0.10302,6560.9
28250,5501.4,410.9,0.05471,-0.03423,0.17979,0.09602,6576.8
28300,5465.7,385.3,0.03613,0.00093,0.07183,0.07143,6594.5
28350,6336.6,435.2,0.37733,-0.0001,0.75809,0.16127,6614.8
28400,6264.7,449.9,0.07684,-0.03913,0.23362,0.08449,6632.1
28450,5662.7,412.2,0.12953,0.02287,0.21488,0.07868,6649.4
28500,6118.5,438.4,0.1937,0.00965,0.36966,0.07724,6668.9
28550,6368.6,451.2,0.19449,-0.03906,0.4704,0.16539,6687.4
